"","Text","Positive","Negative","Score","PosPercent","NegPercent"
"1","1/n- I'm quite agitated and I'll tell you why. Long thread, bare with me.

My parents migrated from Southern India /MGpM4bh34b",0,0,0,0,0
"2","RT @rsponnathpur: Our flag, our anthem, our emblem, our language, our culture, our identity. This is everything for us. We shall resist imp",0,0,0,0,0
"3","Wrote this thread 2 years back about the recommendations made by Dept of Official lang to ""promote""/shoving Hindi d /tRaa7Ij9Mq",1,0,1,100,0
"4","RT @SrujanaDeva: To all the Hindi speakers, please see 

#StopHindiImperialism #StopHindiImposition /KcQszhghLW",0,0,0,0,0
"5","Announce all Indian Languages as official languages of India! #StopHindiImperialism",0,0,0,0,0
"6","RT @iyaltamizh: This not a Jammu and Kashmir this is Tamilnadu, you cannot. #StopHindiImposition #StopHindiImperialism /GAYpV0M",0,0,0,0,0
"7","RT @OdiaFirst: #bharatbhashadiwas
#Wedontwanthindidivas #StopHindiImperialism 
#stophindiimposition
#BlackDayAgainstHindiImposition 
#black",0,0,0,0,0
"8","India is special because of unity in diversity. one nation one language may not work. Hindi is fine as long as its /cDFGv0uwcU",3,0,3,100,0
"9","RT @DravidanTalkies: Excerpts of @tiruchisiva  speech during official language private member bill during March-2013. The bill was introduc",0,0,0,0,0
"10","RT @SomBajju: It is absolutely nonsense, hegemonic and dictatorial to have one language identity for India. Amit Shah's statements should b",0,2,-2,0,100
"11","Ppl trending #StopHindiImposition n #StopHindiImperialism don't mind using a foreign language,English for communica /xr3J9aj0eR",0,0,0,0,0
"12","The disparity in the status and health of Punjabi and the southern languages stems from the fact that Punjabis have /QmFbawlenu",0,0,0,0,0
"13","RT @iyaltamizh: This not a Jammu and Kashmir this is Tamilnadu, you cannot. #StopHindiImposition #StopHindiImperialism /GAYpV0M",0,0,0,0,0
"14","RT @selvaC00l: #StopHindiImposition
This man clearly doesn't understand what ""Unity in Diversity"" means. 

India's multiple language-ness i",2,0,2,100,0
"15","My mother tongue is Marathi .
I respect Hindi and other 21 official languages equally...

We must feel proud about /xSyzoteRVU",2,0,2,100,0
"16","Hindi is not my identity.
Don't spoil the unity of Indians Amit ji

To Few Hindi speaking Intellectuals who applaud /8VGcO33AQj",2,1,1,66.6666666666667,33.3333333333333
"17","RT @SrujanaDeva: To all the Hindi speakers, please see 

#StopHindiImperialism #StopHindiImposition /KcQszhghLW",0,0,0,0,0
"18","RT @are_gow: @IndiaToday My primary language is #Kannada .. who is he to make #Hindi a primary language of India? #BlackDayAgainstHindiImpo",0,0,0,0,0
"19","RT @TrollywoodOffl: To Mr. Amitshah..

#StopHindiImposition #StopHindiImperialism /tND2nEcHJo",0,0,0,0,0
"20","RT @SrujanaDeva: Non-Hindi speakers are asking for equal status on par with Hindi. This is against Hindi or it's speakers. Just a simple de",0,0,0,0,0
"21","RT @SomBajju: It is absolutely nonsense, hegemonic and dictatorial to have one language identity for India. Amit Shah's statements should b",0,2,-2,0,100
"22","RT @SrujanaDeva: To all the Hindi speakers, please see 

#StopHindiImperialism #StopHindiImposition /KcQszhghLW",0,0,0,0,0
"23","RT @SrujanaDeva: To all the Hindi speakers, please see 

#StopHindiImperialism #StopHindiImposition /KcQszhghLW",0,0,0,0,0
"24","RT @iyaltamizh: This not a Jammu and Kashmir this is Tamilnadu, you cannot. #StopHindiImposition #StopHindiImperialism /GAYpV0M",0,0,0,0,0
"25","Amend the Constitution. 
We don't want any National language. India is a beautiful country of Linguistic diversity. /XTMElcsuZF",1,0,1,100,0
"26","RT @IamSeaKing: If you try to impose Hindi on us, India will not be United....

We are Indians for 70 years only, but Tamils for 20,000 yea",0,1,-1,0,100
"27","RT @arikisiva: Tamil is one of the longest-survivingclassical languagesin the world
#StopHindiImposition #StopHindiImperialism https://t.",0,0,0,0,0
"28","RT @arikisiva: Let us unite as Tamils 
#StopHindiImposition #StopHindiImperialism /rylyS38SUp",0,0,0,0,0
"29","Do one thing @AmitShah stop collecting taxes from non Hindi speaking states and then start promoting ur lang...u ne /vHAcabvdp2",0,0,0,0,0
"30","RT @iyaltamizh: This not a Jammu and Kashmir this is Tamilnadu, you cannot. #StopHindiImposition #StopHindiImperialism /GAYpV0M",0,0,0,0,0
"31","And Rice bag Converted are Coming  1,2,3......
#StopHindiImposition 
#StopHindiImperialism 
#_ 
#HindiDiwas",0,0,0,0,0
"32","Why do we need a different link language to communicate with the world (English) and another to communicate with re /gWg3uD87BI",0,0,0,0,0
"33","Amitshah knows how to divert people from real issues #StopHindiImperialism #StopHindiImposition",0,1,-1,0,100
"34","Tamil is the longest-survivingclassical languagesin the world

#
#StopHindiImposition /qN3HgwC5oN",0,0,0,0,0
"35","@CNNnews18 @AmitShah @maryashakil Tughlaq move on one nation one language will have long term impact on India's int /0xdfUF7t26",0,0,0,0,0
"36","RT @AHeggade: Opposing Hindi Imposition has nothing to do with hate, it is only to avoid other languages getting killed.

#BlackDayAgainstH",0,3,-3,0,100
"37","RT @rsponnathpur: Our flag, our anthem, our emblem, our language, our culture, our identity. This is everything for us. We shall resist imp",0,0,0,0,0
"38","RT @iyaltamizh: This not a Jammu and Kashmir this is Tamilnadu, you cannot. #StopHindiImposition #StopHindiImperialism /GAYpV0M",0,0,0,0,0
"39","RT @SomBajju: It is absolutely nonsense, hegemonic and dictatorial to have one language identity for India. Amit Shah's statements should b",0,2,-2,0,100
"40","RT @iyaltamizh: This not a Jammu and Kashmir this is Tamilnadu, you cannot. #StopHindiImposition #StopHindiImperialism /GAYpV0M",0,0,0,0,0
"41","RT @arikisiva: Let us unite as Tamils 
#StopHindiImposition #StopHindiImperialism /rylyS38SUp",0,0,0,0,0
"42","RT @AHeggade: Opposing Hindi Imposition has nothing to do with hate, it is only to avoid other languages getting killed.

#BlackDayAgainstH",0,3,-3,0,100
"43","RT @Kaavinraa: INDIA already have a PROUD IDENTITY Wich is 

""UNITY IN DIVERSITY"".

v don't need HINDI as our IDENTITY.

#StopHindiImpositi",2,0,2,100,0
"44","RT @iamSanthoshvvs: How many times we have to tell you this 
#StopHindiImperialism /48b9MLg5US",0,0,0,0,0
"45","RT @Manikandan_mms: Today those who believe in diversity will come together to oppose #HindiImposition and hindi imperlisam

Unity in diver",0,1,-1,0,100
"46","RT @arikisiva: Tamil is one of the longest-survivingclassical languagesin the world
#StopHindiImposition #StopHindiImperialism https://t.",0,0,0,0,0
"47","RT @ZsoBtMlWVduJsUO: @ujjwalkmahindra @CNNnews18 @AmitShah @maryashakil implement in Gujarath alone #StopHindiImperialism #StopHindiImposit",0,0,0,0,0
"48","We will learn Hindi if we like, but never impose the language, we will then hate it to an extent where we will hate /whBoKmoQS7",1,3,-2,25,75
"49","RT @SrujanaDeva: To all the Hindi speakers, please see 

#StopHindiImperialism #StopHindiImposition /KcQszhghLW",0,0,0,0,0
"50","#StopHindiImperialism  #StopHindiImposition We must increase the use of ""our"" mother tongue:#Tamil.So will other li /kROelOS8aN",0,0,0,0,0
"51","RT @SrujanaDeva: To all the Hindi speakers, please see 

#StopHindiImperialism #StopHindiImposition /KcQszhghLW",0,0,0,0,0
"52","RT @Manikandan_mms: Today those who believe in diversity will come together to oppose #HindiImposition and hindi imperlisam

Unity in diver",0,1,-1,0,100
"53","RT @hukuna_matatta: @themorningshine And Swiss with 4 national languages. It means recognition and respect for all aka UNITING. not this sh",1,0,1,100,0
"54","When Pakistan tried imperializing Urdu, they lost their eastern province.. 
Now Hindi? 

#Remembrance #AmitShah /twgnxkT6Dt",0,1,-1,0,100
"55","RT @iyaltamizh: This not a Jammu and Kashmir this is Tamilnadu, you cannot. #StopHindiImposition #StopHindiImperialism /GAYpV0M",0,0,0,0,0
"56","RT @FeignShourie: ""AmitShah pitches for One Nation, One Language; appeals to all the citizens of the country that we should increase the us",0,0,0,0,0
"57","Non-Hindi speakers are asking for equal status on par with Hindi. This is against Hindi or it's speakers. Just a si /CD5C2gvaJQ",0,0,0,0,0
"58","RT @TrollywoodOffl: To Mr. Amitshah..

#StopHindiImposition #StopHindiImperialism /tND2nEcHJo",0,0,0,0,0
"59","RT @ajavgal: Discrimination based on language

#BlackDayAgainstHindiImposition 
#StopHindiImperialism 
#StopHindiImposition /kB",0,1,-1,0,100
"60","RT @SomBajju: It is absolutely nonsense, hegemonic and dictatorial to have one language identity for India. Amit Shah's statements should b",0,2,-2,0,100
"61","RT @iyaltamizh: This not a Jammu and Kashmir this is Tamilnadu, you cannot. #StopHindiImposition #StopHindiImperialism /GAYpV0M",0,0,0,0,0
"62","RT @TrollywoodOffl: To Mr. Amitshah..

#StopHindiImposition #StopHindiImperialism /tND2nEcHJo",0,0,0,0,0
"63","RT @CommonManOffl: To Hindi speaking sensible people 
Just take a time to answer this.

Let's make Tamil as our National Language..

How yo",1,0,1,100,0
"64","RT @DravidanTalkies: Hai @AmitShah this is Tn. 

#StopHindiImperialism
#StopHindiImposition /AJMjhfpeAr",0,0,0,0,0
"65","Hindi cannot be my identify in world.

#StopHindiImposition 
#StopHindiImperialism 
#StopHindiDivas /IeZk4cctXN",0,0,0,0,0
"66","RT @jokinjey: Kind attention @AmitShah
@narendramodi
#StopHindiImperialism
#StopHindiImposition
/GcXyz5RWfP",0,0,0,0,0
"67","@AmitShah Are you Anti National? You seems to be against Constitution of India which invites sedition charges. /8YGN8FmocH",0,0,0,0,0
"68","Nation's Economy,Natural resources,Cultural diversity,sovereignty,secularism,freedom of speech should be represente /FKgiOg9Gr0",1,0,1,100,0
"69","RT @SrujanaDeva: To all the Hindi speakers, please see 

#StopHindiImperialism #StopHindiImposition /KcQszhghLW",0,0,0,0,0
"70","RT @SrujanaDeva: To all the Hindi speakers, please see 

#StopHindiImperialism #StopHindiImposition /KcQszhghLW",0,0,0,0,0
"71","So, @AmitShah is #Dividing Nation by #ImposingHindi!? #StopHindiImperialism #BlackDayAgainstHindiImposition /pNNQnZB3uS",0,0,0,0,0
"72","RT @AHeggade: Opposing Hindi Imposition has nothing to do with hate, it is only to avoid other languages getting killed.

#BlackDayAgainstH",0,3,-3,0,100
"73","RT @CommonManOffl: Dear Central government, last time you tried Hindi Imposition, 
Only TAMIL speaking fought for their individuality

But",0,1,-1,0,100
"74","@CNNnews18 @AmitShah @maryashakil India is a country of multiple nations. Don't break this country with your stupid /cUiQfK3Coq",0,2,-2,0,100
"75","RT @ajavgal: Discrimination based on language

#BlackDayAgainstHindiImposition 
#StopHindiImperialism 
#StopHindiImposition /kB",0,1,-1,0,100
"76","RT @arikisiva: Let us unite as Tamils 
#StopHindiImposition #StopHindiImperialism /rylyS38SUp",0,0,0,0,0
"77","RT @are_gow: @IndiaToday My primary language is #Kannada .. who is he to make #Hindi a primary language of India? #BlackDayAgainstHindiImpo",0,0,0,0,0
"78","RT @niranjan2428: Now Every non Hindi speaking States opposing Hindi imposing. This is our India!!

#StopHindiImperialism 
#HindiIsNotOu",0,1,-1,0,100
"79","/l1vBfZoYog",0,0,0,0,0
"80","If #OneCountryOneLanguage is the your ideology then we should have one nation per language. Fair deal! /fUUoLQ72ft",1,0,1,100,0
"81","RT @DravidanTalkies: Hai @AmitShah this is Tn. 

#StopHindiImperialism
#StopHindiImposition /AJMjhfpeAr",0,0,0,0,0
"82","RT @kiranrajdc: India is a land of unity in diversity. Diversity in terms of language, religion,culture etc. but you morons ruining it by i",1,2,-1,33.3333333333333,66.6666666666667
"83","RT @hukuna_matatta: @themorningshine And Swiss with 4 national languages. It means recognition and respect for all aka UNITING. not this sh",1,0,1,100,0
"84","RT @iamSanthoshvvs: How many times we have to tell you this 
#StopHindiImperialism /48b9MLg5US",0,0,0,0,0
"85","RT @iyaltamizh: This not a Jammu and Kashmir this is Tamilnadu, you cannot. #StopHindiImposition #StopHindiImperialism /GAYpV0M",0,0,0,0,0
"86","RT @ajavgal: Customers were treated badly for speaking in Kannada in Karnataka

report in Today's @NewIndianXpress

#BlackDayAgainstHindiIm",0,1,-1,0,100
"87","RT @DravidanTalkies: Hai @AmitShah this is Tn. 

#StopHindiImperialism
#StopHindiImposition /AJMjhfpeAr",0,0,0,0,0
"88","RT @TrollywoodOffl: To Mr. Amitshah..

#StopHindiImposition #StopHindiImperialism /tND2nEcHJo",0,0,0,0,0
"89","@madan3 There are more crows than peacocks, so crow should be the national bird! That's their silly logic. /L9C6L3Sdkx",0,1,-1,0,100
"90","#tamil is the oldest language in the world. Yet we do not impose it on the whole nation and ask them to speak it. T /VRNoIHhvv0",0,1,-1,0,100
"91","Hindi does not have any constitutional status than any other language. So what? We can pass a constitutional amendm /dxITtQR5Ag",0,0,0,0,0
"92","RT @iam_gdhev: Do one thing @AmitShah stop collecting taxes from non Hindi speaking states and then start promoting ur lang...u need our ta",0,0,0,0,0
"93","RT @ajavgal: Discrimination based on language

#BlackDayAgainstHindiImposition 
#StopHindiImperialism 
#StopHindiImposition /kB",0,1,-1,0,100
"94","RT @arikisiva: Tamil is one of the longest-survivingclassical languagesin the world
#StopHindiImposition #StopHindiImperialism https://t.",0,0,0,0,0
"95","RT @SrujanaDeva: To all the Hindi speakers, please see 

#StopHindiImperialism #StopHindiImposition /KcQszhghLW",0,0,0,0,0
"96","RT @SomBajju: It is absolutely nonsense, hegemonic and dictatorial to have one language identity for India. Amit Shah's statements should b",0,2,-2,0,100
"97","RT @jokinjey: Kind attention @AmitShah
@narendramodi
#StopHindiImperialism
#StopHindiImposition
/GcXyz5RWfP",0,0,0,0,0
"98","RT @VanjaramCurry: What is this Hindi Diwas crap? Why is this even being called a Raj Basha? Time to blacken more Hindi boards in TN. #Stop",0,1,-1,0,100
"99","RT @TrollywoodOffl: To Mr. Amitshah..

#StopHindiImposition #StopHindiImperialism /tND2nEcHJo",0,0,0,0,0
"100","RT @DravidanTalkies: Excerpts of @tiruchisiva  speech during official language private member bill during March-2013. The bill was introduc",0,0,0,0,0
"101","RT @fnoble20: @SwamiGeetika Why should we learn Hindi when we have a great language tamil #StopHindiImposition #StopHindiImperialism",1,0,1,100,0
"102","To pick a language from the eighth schedule as the sole official language or national language (The Schedule lists /2SIkGyCidZ",0,0,0,0,0
"103","RT @AHeggade: Opposing Hindi Imposition has nothing to do with hate, it is only to avoid other languages getting killed.

#BlackDayAgainstH",0,3,-3,0,100
"104","What is this Hindi Diwas crap? Why is this even being called a Raj Basha? Time to blacken more Hindi boards in TN. /tpXLOTk9dC",0,1,-1,0,100
"105","@DDNewsLive Hindi is language for jus 30% language and it celebrated only in certain parts if India... If its celeb /yspzNYvmtc",1,0,1,100,0
"106","RT @arikisiva: Let us unite as Tamils 
#StopHindiImposition #StopHindiImperialism /rylyS38SUp",0,0,0,0,0
"107","RT @thulasideva06: Bcoz of this man, he s trying to impose i think so..  #StopHindiImperialism #StopHindiImposition /SM69qD51",0,1,-1,0,100
"108","RT @DravidanTalkies: Hai @AmitShah this is Tn. 

#StopHindiImperialism
#StopHindiImposition /AJMjhfpeAr",0,0,0,0,0
"109","RT @DravidanTalkies: Hey idiot @AmitShah Hindi, not a national language.

/UPcnpXYDAH

#StopHindiImposition
#StopHindiImperiali",0,1,-1,0,100
"110","Dear Central government, last time you tried Hindi Imposition, 
Only TAMIL speaking fought for their individuality /3ho0Et7iMt",0,1,-1,0,100
"111","RT @ArbazJunaid: One Country One Tax #GST
GST council is still making Changes...
Now, One Country One Language #Hindi
I don't know what the",0,0,0,0,0
"112","RT @NihalKirnalli: This man clearly doesn't understand what ""Unity in Diversity"" means. 

India's multiple language-ness itself has its rec",2,0,2,100,0
"113","RT @iyaltamizh: This not a Jammu and Kashmir this is Tamilnadu, you cannot. #StopHindiImposition #StopHindiImperialism /GAYpV0M",0,0,0,0,0
"114","RT @SrujanaDeva: To all the Hindi speakers, please see 

#StopHindiImperialism #StopHindiImposition /KcQszhghLW",0,0,0,0,0
"115","RT @iyaltamizh: This not a Jammu and Kashmir this is Tamilnadu, you cannot. #StopHindiImposition #StopHindiImperialism /GAYpV0M",0,0,0,0,0
"116","RT @hukuna_matatta: Let's stop paying taxes that is used to promote Hindi with special status and to buy pellets that kills our own citizen",0,1,-1,0,100
"117","RT @SrujanaDeva: To all the Hindi speakers, please see 

#StopHindiImperialism #StopHindiImposition /KcQszhghLW",0,0,0,0,0
"118","Unity in diversity is at its stake !  #BlackDayAgainstHindiImposition #StopHindiImposition #StopHindiImperialism",1,0,1,100,0
"119","@ujjwalkmahindra @CNNnews18 @AmitShah @maryashakil implement in Gujarath alone #StopHindiImperialism /cKQRRlUqxL",0,0,0,0,0
"120","RT @frozenmelodee: One Nation.. One Language?? Bull shit!! Stop Hindi imposition. We believe in language diversity! Some shitheads don't un",0,2,-2,0,100
"121","RT @SrujanaDeva: To all the Hindi speakers, please see 

#StopHindiImperialism #StopHindiImposition /KcQszhghLW",0,0,0,0,0
"122","RT @iamSanthoshvvs: How many times we have to tell you this 
#StopHindiImperialism /48b9MLg5US",0,0,0,0,0
"123","Just checked YouTube, came to know Sumerians actually spoke a ancient form of , and literally a  literatu /PVjFt1bDSh",0,0,0,0,0
"124","RT @ajavgal: Discrimination based on language

#BlackDayAgainstHindiImposition 
#StopHindiImperialism 
#StopHindiImposition /kB",0,1,-1,0,100
"125","RT @4yy6oCIVSFNGxv7: NEET for doctors
MAT GMAT for management students
And now class 5&amp;8 also having common public examination

But why not",0,0,0,0,0
"126","RT @jokinjey: Kind attention @AmitShah
@narendramodi
#StopHindiImperialism
#StopHindiImposition
/GcXyz5RWfP",0,0,0,0,0
"127","RT @Manikandan_mms: Today those who believe in diversity will come together to oppose #HindiImposition and hindi imperlisam

Unity in diver",0,1,-1,0,100
"128","RT @iyaltamizh: This not a Jammu and Kashmir this is Tamilnadu, you cannot. #StopHindiImposition #StopHindiImperialism /GAYpV0M",0,0,0,0,0
"129","RT @iyaltamizh: This not a Jammu and Kashmir this is Tamilnadu, you cannot. #StopHindiImposition #StopHindiImperialism /GAYpV0M",0,0,0,0,0
"130","""AmitShah pitches for One Nation, One Language; appeals to all the citizens of the country that we should increase /eK0kcPSIM7",0,0,0,0,0
"131","Today those who believe in diversity will come together to oppose #HindiImposition and hindi imperlisam

Unity in d /6uL8iI5x9d",0,1,-1,0,100
"132","RT @SrujanaDeva: To all the Hindi speakers, please see 

#StopHindiImperialism #StopHindiImposition /KcQszhghLW",0,0,0,0,0
"133","RT @SrujanaDeva: To all the Hindi speakers, please see 

#StopHindiImperialism #StopHindiImposition /KcQszhghLW",0,0,0,0,0
"134","RT @SrujanaDeva: To all the Hindi speakers, please see 

#StopHindiImperialism #StopHindiImposition /KcQszhghLW",0,0,0,0,0
"135","RT @DravidanTalkies: Hai @AmitShah this is Tn. 

#StopHindiImperialism
#StopHindiImposition /AJMjhfpeAr",0,0,0,0,0
"136","To #StopHindiImperialism is a challenge as we are in rule of absolute powers that can do anything, the way they bre /eqHm2RhErU",0,0,0,0,0
"137","It is absolutely nonsense, hegemonic and dictatorial to have one language identity for India. Amit Shah's statement /GhqRJhHSDS",0,2,-2,0,100
"138","Kind attention @AmitShah
@narendramodi
#StopHindiImperialism
#StopHindiImposition
/GcXyz5RWfP",0,0,0,0,0
"139","RT @iyaltamizh: This not a Jammu and Kashmir this is Tamilnadu, you cannot. #StopHindiImposition #StopHindiImperialism /GAYpV0M",0,0,0,0,0
"140","RT @TamizhObserver: @AmitShah Identity of India does not lie on one language. Unity in diversity is Indias strength. Its India, not Hindia",1,1,0,50,50
"141","RT @TrollywoodOffl: To Mr. Amitshah..

#StopHindiImposition #StopHindiImperialism /tND2nEcHJo",0,0,0,0,0
"142","INDIA already have a PROUD IDENTITY Wich is 

""UNITY IN DIVERSITY"".

v don't need HINDI as our IDENTITY. /0n3fuyfneF",2,0,2,100,0
"143","Let's stop paying taxes that is used to promote Hindi with special status and to buy pellets that kills our own cit /fSpBIgNzGx",0,1,-1,0,100
"144","RT @TrollywoodOffl: To Mr. Amitshah..

#StopHindiImposition #StopHindiImperialism /tND2nEcHJo",0,0,0,0,0
"145","RT @SrujanaDeva: To all the Hindi speakers, please see 

#StopHindiImperialism #StopHindiImposition /KcQszhghLW",0,0,0,0,0
"146","One nation and one common language #StopHindiImperialism",0,0,0,0,0
"147","RT @attur_karthi: @CNNnews18 @AmitShah @maryashakil World knews that Indias pride lies in diversity... Its a subcontinent with integration",1,1,0,50,50
"148","Hai @AmitShah this is Tn. 

#StopHindiImperialism
#StopHindiImposition /AJMjhfpeAr",0,0,0,0,0
"149","#StopHindiImperialism
#StopHindiImposition
Why don't people have problem with english which was imposed by britishers",0,1,-1,0,100
